date,country_code,country,series_id,frequency,source,value
1955-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,10.46516
1955-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,10.70172
1955-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.00472
1955-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.31857
1956-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.21611
1956-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.28345
1956-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.59858
1956-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.63392
1957-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,11.80163
1957-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.03774
1957-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.23919
1957-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.24249
1958-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.42665
1958-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.32805
1958-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.34933
1958-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.45631
1959-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,12.49344
1959-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,13.1388
1959-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,13.19341
1959-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,13.55564
1960-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,13.94842
1960-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,14.34706
1960-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,14.60871
1960-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.00634
1961-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,14.92838
1961-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,14.96633
1961-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.11939
1961-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.25406
1962-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.3905
1962-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.37649
1962-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.60919
1962-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.54031
1963-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.63446
1963-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.14863
1963-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.31976
1963-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.63243
1964-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.19617
1964-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.39449
1964-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.51484
1964-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.69361
1965-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.06522
1965-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.04292
1965-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.44197
1965-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.33756
1966-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.8679
1966-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.9698
1966-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.91639
1966-10-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.50213
1967-01-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.02464
1967-04-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.27217
1967-07-01,AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.98158
